,season,session,game_id,game_date,team,opp_team,strength_state,toi,gf,ga,hdgf,hdga,xgf,xga,sf,sa,hdsf,hdsa,ff,fa,hdff,hdfa,cf,ca,bsf,bsa,msf,msa,hdmsf,hdmsa,teammate_block,hf,ht,give,take,ozf,nzf,dzf,fow,fol,ozfw,ozfl,nzfw,nzfl,dzfw,dzfl,pent0,pent2,pent4,pent5,pent10,pend0,pend2,pend4,pend5,pend10,ozs,nzs,dzs,otf
19,20162017,P,2016030153,2017-04-17,CHI,NSH,5v5,65.75,1,3,1,3,1.6212056276854128,3.561816116794944,31,46,5,7,37,59,5,10,0,0,13,26,6,13,0,3,0,14,29,13,10,22,22,14,29,40,11,14,11,10,7,16,0,3,0,0,0,0,5,0,0,0,0,0,0,0
20,20162017,P,2016030153,2017-04-17,NSH,CHI,4v4,4.0,0,0,0,0,0.19649774953722954,0.10772528871893883,1,2,0,0,3,3,0,0,0,0,2,2,2,1,0,0,0,1,1,1,1,4,0,4,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20162017,P,2016030153,2017-04-17,NSH,CHI,4v5,4.983333333333333,0,1,0,0,0.01468115858733654,0.40185496397316456,1,3,0,0,1,7,0,0,0,0,1,2,0,4,0,0,0,1,0,1,1,0,0,4,2,3,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,20162017,P,2016030153,2017-04-17,NSH,CHI,5v4,2.0,0,0,0,0,0.04180169105529785,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,20162017,P,2016030153,2017-04-17,NSH,CHI,5v5,65.75,3,1,3,1,3.561816116794944,1.6212056276854128,46,31,7,5,59,37,10,5,0,0,26,13,13,6,3,0,0,29,14,14,12,28,20,32,40,29,14,11,10,11,16,7,0,5,0,0,0,0,3,0,0,0,0,0,0,0
24,20162017,P,2016030154,2017-04-20,CHI,NSH,4v5,5.316666666666666,0,0,0,0,0.0,0.9744310081005096,0,4,0,1,0,7,0,1,0,0,0,5,0,3,0,0,0,0,0,3,2,0,0,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20162017,P,2016030154,2017-04-20,CHI,NSH,5v4,2.1333333333333333,1,0,0,0,0.23343487828969955,0.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,20162017,P,2016030154,2017-04-20,CHI,NSH,5v5,51.666666666666664,0,3,0,1,2.299853206379339,2.738064651377499,29,21,2,5,41,28,7,6,0,0,15,11,12,7,5,1,0,13,20,8,7,24,10,16,25,25,12,7,5,10,8,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0
27,20162017,P,2016030154,2017-04-20,CHI,NSH,Ev5,0.8666666666666667,0,1,0,1,0.0,0.8080077767372131,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20162017,P,2016030154,2017-04-20,NSH,CHI,4v5,2.1333333333333333,0,1,0,0,0.0,0.23343487828969955,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20162017,P,2016030154,2017-04-20,NSH,CHI,5v4,5.316666666666666,0,0,0,0,0.9744310081005096,0.0,4,0,1,0,7,0,1,0,0,0,5,0,3,0,0,0,0,0,0,1,0,4,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
